ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
724,1995,0.02674639,0.063642532,0.10670231,0.15155132,0.20444225,0.24445294,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02757494,0.023831954,-0.010314917,0.0092921546,-0.024363,-0.02042,-0.015461,-0.0053849998
724,1996,0.036896139,0.079955921,0.12480493,0.17769586,0.21770655,0.24650417,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02674639,0.02757494,0.023831954,-0.010314917,0.0090220002,-0.024363,-0.02042,-0.015461
724,1997,0.043059781,0.08790879,0.14079972,0.18081041,0.20960803,0.24148375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.036896139,0.02674639,0.02757494,0.023831954,0.046068002,0.0090220002,-0.024363,-0.02042
724,1998,0.044849008,0.097739935,0.13775063,0.16654825,0.19842397,0.23009144,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.043059781,0.036896139,0.02674639,0.02757494,0.080674998,0.046068002,0.0090220002,-0.024363
724,1999,0.05289093,0.092901617,0.12169924,0.15357494,0.18524241,0.22247344,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.044849008,0.043059781,0.036896139,0.02674639,0.018693,0.080674998,0.046068002,0.0090220002
724,2000,0.040010691,0.06880831,0.10068402,0.13235149,0.16958252,0.21132371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05289093,0.044849008,0.043059781,0.036896139,0.063074999,0.018693,0.080674998,0.046068002
724,2001,0.028797621,0.060673334,0.092340797,0.12957183,0.17131302,0.20900197,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.040010691,0.05289093,0.044849008,0.043059781,0.027631,0.063074999,0.018693,0.080674998
724,2002,0.031875715,0.063543186,0.10077421,0.14251541,0.18020436,0.19136409,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.028797621,0.040010691,0.05289093,0.044849008,0.043189,0.027631,0.063074999,0.018693
724,2003,0.031667467,0.068898499,0.11063969,0.14832865,0.15948838,0.12375025,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.031875715,0.028797621,0.040010691,0.05289093,0.061992001,0.043189,0.027631,0.063074999
724,2004,0.037231032,0.07897222,0.11666118,0.12782091,0.092082784,0.092220649,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.031667467,0.031875715,0.028797621,0.040010691,0.099403001,0.061992001,0.043189,0.027631
724,2005,0.041741189,0.079430141,0.090589866,0.054851744,0.05498961,0.044988804,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.037231032,0.031667467,0.031875715,0.028797621,0.194515,0.099403001,0.061992001,0.043189
724,2006,0.037688952,0.048848681,0.013110559,0.013248425,0.0032476205,-0.026050495,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.041741189,0.037231032,0.031667467,0.031875715,0.20434099,0.194515,0.099403001,0.061992001
724,2007,0.011159727,-0.024578394,-0.024440529,-0.034441333,-0.063739449,-0.080798395,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.037688952,0.041741189,0.037231032,0.031667467,0.131918,0.20434099,0.194515,0.099403001
724,2008,-0.035738122,-0.035600256,-0.045601062,-0.074899182,-0.091958128,-0.078168146,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.011159727,0.037688952,0.041741189,0.037231032,0.046601001,0.131918,0.20434099,0.194515
724,2009,0.00013786544,-0.0098629389,-0.039161056,-0.056220002,-0.042430021,-0.010383215,0,0,1.0,0.0,0.0,1.0,0.0,0.0,-0.035738122,0.011159727,0.037688952,0.041741189,0.027272999,0.046601001,0.131918,0.20434099
724,2010,-0.010000804,-0.039298922,-0.056357868,-0.042567886,-0.01052108,0.021836448,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.00013786544,-0.035738122,0.011159727,0.037688952,0.0034360001,0.027272999,0.046601001,0.131918
724,2011,-0.029298116,-0.046357065,-0.032567084,-0.00052027777,0.031837251,,0,0,1.0,0.0,1.0,0.0,0.0,1.0,-0.010000804,0.00013786544,-0.035738122,0.011159727,-0.047956001,0.0034360001,0.027272999,0.046601001
724,2012,-0.017058948,-0.0032689655,0.028777841,0.06113537,,,0,0,0.0,1.0,0.0,0.0,0.0,0.0,-0.029298116,-0.010000804,0.00013786544,-0.035738122,-0.136926,-0.047956001,0.0034360001,0.027272999
724,2013,0.013789983,0.045836788,0.07819432,,,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.017058948,-0.029298116,-0.010000804,0.00013786544,-0.14068,-0.136926,-0.047956001,0.0034360001
752,1891,-0.010909935,0.015560308,0.026773699,0.083877236,0.11882678,0.16634259,0,0,,,,0.0,0.0,0.0,0.055886615,0.026629955,0.018961467,0.01934216,-0.016605999,-0.0015050001,-0.014815,-0.021157
